text,novel,narrativeTime,speaker,dialogueTurn,speakerType,author,Turn,idCol,NumTurns,word,row_num,arousal,number_emo_words,arousal_straight_mean,speaker_word_turn,time_prep,arousal_emo_std,arousal_emo_mean,arousal_in_home_base,arousal_dist_home_base,arousal_state,arousal_disp_num,arousal_disp_count,arousal_low_disp_count,arousal_high_disp_count,arousal_peak_dist,arousal_is_peak,arousal_disp_dist,arousal_disp_length,arousal_rise_rate,arousal_recovery_rate,arousal_low_rise_rate,arousal_low_recovery_rate,arousal_high_rise_rate,arousal_high_recovery_rate,speaker_num_steps,rolling_window_step,dialogue_turn,speaker_dialogue_turn,Identifier
"Right on both points! But I confess that I don t see how you arrived at it. It was a sudden impulse upon my part, and I have mentioned it to no one.",SignOfFour,0.0377266046055854,Dr. Watson,21,major,Arthur Conan Doyle,3,Dr. Watson-SignOfFour,6,impulse,50,0.5357999999999999,11,0.5077272727272727,1,0.14285714285714285,0.12283684106899495,0.615142857142857,1.0,0.0,HOME,,2.0,1.0,2.0,0.0,,,,,,,,,,7,0,1,1,bookSpeakers
A man of business habits and some force of character.,SignOfFour,0.1126898579127878,Dr. Watson,81,major,Arthur Conan Doyle,8,Dr. Watson-SignOfFour,6,force,70,0.6447999999999999,11,0.5077272727272727,2,0.2857142857142857,0.12283684106899495,0.615142857142857,1.0,0.0,HOME,,2.0,1.0,2.0,0.0,,,,,,,,,,7,1,2,2,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,thought,82,0.391,30,0.4575000000000001,1,0.038461538461538464,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,2,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,thought,84,0.3912,30,0.4575000000000001,2,0.07692307692307693,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,3,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,state,88,0.3892,30,0.4575000000000001,3,0.11538461538461539,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,4,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,clear,90,0.3016,30,0.4575000000000001,4,0.15384615384615385,0.07819736174971238,0.46005384615384626,0.0,0.0817750243320659,LOW,1.0,7.0,3.0,5.0,0.0817750243320659,1.0,0.0,1.0,,,,,,,26,5,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,happen,101,0.3894,30,0.4575000000000001,5,0.19230769230769232,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,6,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,desirable,106,0.4734,30,0.4575000000000001,6,0.23076923076923078,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,7,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,congratulate,113,0.5552,30,0.4575000000000001,7,0.2692307692307692,0.07819736174971238,0.46005384615384626,0.0,0.01846733202437345,HIGH,2.0,7.0,3.0,5.0,0.01846733202437345,1.0,0.0,1.0,,,,,,,26,8,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,thing,128,0.5356000000000001,30,0.4575000000000001,8,0.3076923076923077,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,9,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,proper,131,0.5326,30,0.4575000000000001,9,0.34615384615384615,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,10,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,close,137,0.4506,30,0.4575000000000001,10,0.38461538461538464,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,11,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,intimacy,141,0.4640000000000001,30,0.4575000000000001,11,0.4230769230769231,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,12,3,1,bookSpeakers
"that I cannot have a doubt as to Mr. Elton's intentions. You are his object--and you will soon receive the completest proof of it. I thought it must be so. I thought I could not be so deceived; but now, it is clear; the state of his mind is as clear and decided, as my wishes on the subject have been ever since I knew you. Yes, Harriet, just so long have I been wanting the very circumstance to happen that has happened. I could never tell whether an attachment between you and Mr. Elton were most desirable or most natural. Its probability and its eligibility have really so equalled each other! I am very happy. I congratulate you, my dear Harriet, with all my heart. This is an attachment which a woman may well feel pride in creating. This is a connexion which offers nothing but good. It will give you every thing that you want--consideration, independence, a proper home--it will fix you in the centre of all your real friends, close to Hartfield and to me, and confirm our intimacy for ever. This, Harriet, is an alliance which can never raise a blush in either of us.",Emma,0.1349474808616699,Emma,228,major,Jane Austen,9,Emma-Emma,6,raise,146,0.45620000000000005,30,0.4575000000000001,12,0.46153846153846156,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,13,3,1,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,leave,152,0.4748,30,0.4575000000000001,13,0.5,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,14,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,dare,157,0.5700000000000001,30,0.4575000000000001,14,0.5384615384615384,0.07819736174971238,0.46005384615384626,0.0,0.033267332024373486,HIGH,3.0,7.0,3.0,5.0,0.04606733202437341,0.0,-1.0,2.0,0.04606733202437341,,,,0.04606733202437341,,26,15,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,pass,163,0.5828,30,0.4575000000000001,15,0.5769230769230769,0.07819736174971238,0.46005384615384626,0.0,0.04606733202437341,HIGH,3.0,7.0,3.0,5.0,0.04606733202437341,1.0,0.0,2.0,,,,,,,26,16,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,soft,166,0.4582,30,0.4575000000000001,16,0.6153846153846154,0.07819736174971238,0.46005384615384626,1.0,0.0,HOME,,7.0,3.0,5.0,0.0,,,,,,,,,,26,17,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,eyes,167,0.377,30,0.4575000000000001,17,0.6538461538461539,0.07819736174971238,0.46005384615384626,0.0,0.006375024332065882,LOW,4.0,7.0,3.0,5.0,0.018175024332065914,0.0,-3.0,4.0,0.006058341444021971,,0.006058341444021971,,,,26,18,4,2,bookSpeakers
"Leave it to me. You do nothing. He will be here this evening, I dare say, and then I will give it him back, and some nonsense or other will pass between us, and you shall not be committed.--Your soft eyes shall chuse their own time for beaming. Trust to me.",Emma,0.1404664411607619,Emma,245,major,Jane Austen,11,Emma-Emma,6,time,169,0.37160000000000004,30,0.4575000000000001,18,0.6923076923076923,0.07819736174971238,0.46005384615384626,0.0,0.011775024332065842,LOW,4.0,7.0,3.0,5.0,0.018175024332065914,0.0,-2.0,4.0,0.006058341444021971,,0.006058341444021971,,,,26,19,4,2,bookSpeakers
"I would by no means suspend any pleasure of yours,",PrideAndPrejudice,0.2611803144782519,Mr. Darcy,431,major,Jane Austen,17,Mr. Darcy-PrideAndPrejudice,3,pleasure,200,0.3278,5,0.3278,1,1.0,,0.3278,1.0,0.0,HOME,,1.0,1.0,1.0,0.0,,,,,,,,,,1,20,5,1,bookSpeakers
"that our wooden-legged friend, though a fair climber, was not a professional sailor. His hands were far from horny. My lens discloses more than one blood-mark, especially towards the end of the rope, from which I gather that he slipped down with such velocity that he took the skin off his hand.",SignOfFour,0.3336599706026457,Mr. Sherlock Holmes,170,major,Arthur Conan Doyle,21,Mr. Sherlock Holmes-SignOfFour,8,velocity,230,0.5842,24,0.41541666666666677,1,0.05,0.10214708693066606,0.37789999999999996,0.0,0.10673933507654743,HIGH,1.0,3.0,2.0,2.0,0.10673933507654743,1.0,0.0,2.0,,,,,,,20,21,6,1,bookSpeakers
"Death from some powerful vegetable alkaloid,",SignOfFour,0.3669769720725134,Dr. Watson,192,major,Arthur Conan Doyle,22,Dr. Watson-SignOfFour,6,death,233,0.7436,11,0.5077272727272727,3,0.42857142857142855,0.12283684106899495,0.615142857142857,0.0,0.01473232640290112,HIGH,1.0,2.0,1.0,2.0,0.041532326402901165,0.0,-1.0,2.0,0.041532326402901165,,,,0.041532326402901165,,7,22,7,3,bookSpeakers
"Death from some powerful vegetable alkaloid,",SignOfFour,0.3669769720725134,Dr. Watson,192,major,Arthur Conan Doyle,22,Dr. Watson-SignOfFour,6,powerful,234,0.7704000000000001,11,0.5077272727272727,4,0.5714285714285714,0.12283684106899495,0.615142857142857,0.0,0.041532326402901165,HIGH,1.0,2.0,1.0,2.0,0.041532326402901165,1.0,0.0,2.0,,,,,,,7,23,7,3,bookSpeakers
"Death from some powerful vegetable alkaloid,",SignOfFour,0.3669769720725134,Dr. Watson,192,major,Arthur Conan Doyle,22,Dr. Watson-SignOfFour,6,vegetable,235,0.6519999999999999,11,0.5077272727272727,5,0.7142857142857143,0.12283684106899495,0.615142857142857,1.0,0.0,HOME,,2.0,1.0,2.0,0.0,,,,,,,,,,7,24,7,3,bookSpeakers
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,24,Mr. Sherlock Holmes-SignOfFour,8,clear,240,0.4888,24,0.41541666666666677,2,0.1,0.10214708693066606,0.37789999999999996,0.0,0.011339335076547385,HIGH,1.0,3.0,2.0,2.0,0.10673933507654743,0.0,1.0,2.0,,0.10673933507654743,,,,0.10673933507654743,20,25,8,2,bookSpeakers
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,24,Mr. Sherlock Holmes-SignOfFour,8,room,248,0.3658,24,0.41541666666666677,3,0.15,0.10214708693066606,0.37789999999999996,1.0,0.0,HOME,,3.0,2.0,2.0,0.0,,,,,,,,,,20,26,8,2,bookSpeakers
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,24,Mr. Sherlock Holmes-SignOfFour,8,wooden,262,0.364,24,0.41541666666666677,4,0.2,0.10214708693066606,0.37789999999999996,1.0,0.0,HOME,,3.0,2.0,2.0,0.0,,,,,,,,,,20,27,8,2,bookSpeakers
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,24,Mr. Sherlock Holmes-SignOfFour,8,inner,265,0.35819999999999996,24,0.41541666666666677,5,0.25,0.10214708693066606,0.37789999999999996,1.0,0.0,HOME,,3.0,2.0,2.0,0.0,,,,,,,,,,20,28,8,2,bookSpeakers
"Not only will I clear him, Mr. Jones, but I will make you a free present of the name and description of one of the two people who were in this room last night. His name, I have every reason to believe, is Jonathan Small. He is a poorly-educated man, small, active, with his right leg off, and wearing a wooden stump which is worn away upon the inner side. His left boot has a coarse, square-toed sole, with an iron band round the heel. He is a middle-aged man, much sunburned, and has been a convict. These few indications may be of some assistance to you, coupled with the fact that there is a good deal of skin missing from the palm of his hand. The other man",SignOfFour,0.3958843704066634,Mr. Sherlock Holmes,220,major,Arthur Conan Doyle,24,Mr. Sherlock Holmes-SignOfFour,8,coupled,283,0.26159999999999994,24,0.41541666666666677,6,0.3,0.10214708693066606,0.37789999999999996,0.0,0.016739335076547457,LOW,2.0,3.0,2.0,2.0,0.05553933507654743,0.0,-2.0,3.0,0.027769667538273715,,0.027769667538273715,,,,20,29,8,2,bookSpeakers
